"country","region","infected","deaths","recoveries","long","lat","last_updated"
"Taiwan","Taipei City","113","1","3","121.5636796","25.0375198","2020-04-19 12:34:39"
"Taiwan","New Taipei City","89","0","0","121.4656619","25.011997","2020-04-19 12:34:39"
"Taiwan","Taoyuan City","49","0","1","121.30168","24.993923","2020-04-19 12:34:39"
"Taiwan","Taichung City","38","0","1","120.6478282","24.163162","2020-04-19 12:34:39"
"Taiwan","Kaohsiung City","30","0","1","120.3120375","22.6203348","2020-04-19 12:34:39"
"Taiwan","Changhua County","18","0","2","120.5444667","24.0755667","2020-04-19 12:34:39"
"Taiwan","Tainan City","14","0","1","120.184982","22.9912348","2020-04-19 12:34:39"
"Taiwan","Hsinchu City","11","0","0","120.9686833","24.8066333","2020-04-19 12:34:39"
"Taiwan","Pingtung County","8","0","0","120.487928","22.6828017","2020-04-19 12:34:39"
"Taiwan","Keelung City","6","0","0","121.744652","25.1317232","2020-04-19 12:34:39"
"Taiwan","Hsinchu County","6","0","0","121.0128333","24.8267","2020-04-19 12:34:39"
"Taiwan","Yunlin County","4","0","0","120.5245511","23.6990775","2020-04-19 12:34:39"
"Taiwan","Chiayi City","3","0","0","120.2930004","23.4591664","2020-04-19 12:34:39"
"Taiwan","Miaoli County","3","0","0","120.8205167","24.5647667","2020-04-19 12:34:39"
"Taiwan","Yilan County","2","0","1","121.7631149","24.7302791","2020-04-19 12:34:39"
"Taiwan","Nantou County","2","1","2","120.6909167","23.90235","2020-04-19 12:34:39"
"Taiwan","Chiayi County","2","0","0","120.2930004","23.4591664","2020-04-19 12:34:39"
