"Country",Wikipedia Page,Table Text,Table index,Data row starting,Data row ending,Region column,Infected column,Deaths column,Recovered column
South Korea,https://en.m.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Korea,Incidence rate,1,3,-1,1,2,7,-
China,https://en.m.wikipedia.org/wiki/2019%E2%80%9320_coronavirus_pandemic_in_mainland_China,-,-,-,-,-,-,-,-
Taiwan,https://en.m.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Taiwan,-,-,-,-,-,-,-,-
Philippines,https://en.m.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Philippines,-,1,4,-3,1,5,6,7
India,https://en.m.wikipedia.org/wiki/2020_coronavirus_pandemic_in_India,2020 coronavirus pandemic in India by state and union territory,1,3,-3,2,3,4,5
Sri Lanka,https://en.m.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Sri_Lanka,-,-,-,-,-,-,-,-
Myanmar,-,-,-,-,-,-,-,-,-
Laos,-,-,-,-,-,-,-,-,-
Vietnam,https://en.m.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vietnam,City / Province,1,2,-1,1,2,-,3
Hong Kong,https://en.m.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hong_Kong,-,-,-,-,-,-,-,-
Macau,-,-,-,-,-,-,-,-,-
Singapore,-,-,-,-,-,-,-,-,-
Indonesia,https://en.m.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia,infocorona.baliprov.go.id,1,2,-3,1,5,3,4
Malaysia,-,-,-,-,-,-,-,-,-
Thailand,-,-,-,-,-,-,-,-,-
